	rplB_9	rplB_94
SRR2034335.63961-1/2	1.0	0.0
SRR2034335.63961-2/2	0.0	0.0
SRR2034335.643176-1/2	0.0	0.0
SRR2034335.643176-2/2	1.0	0.0
SRR2034335.647506-1/2	0.0	0.0
SRR2034335.647506-2/2	1.0	0.0
SRR2034335.647540-1/2	0.0	0.0
SRR2034335.647540-2/2	2.0	0.0
SRR2034335.64935-1/2	1.0	0.0
SRR2034335.64935-2/2	0.0	0.0
SRR2034335.651054-1/2	1.0	0.0
SRR2034335.651054-2/2	2.0	1.0
SRR2034335.651291-1/2	0.0	0.0
SRR2034335.651291-2/2	0.0	0.0
SRR2034335.653283-1/2	0.0	0.0
SRR2034335.653283-2/2	0.0	0.0
SRR2034335.662537-1/2	0.0	0.0
SRR2034335.662537-2/2	1.0	0.0
SRR2034335.665355-1/2	1.0	0.0
SRR2034335.665355-2/2	0.0	0.0
SRR2034335.672393-1/2	0.0	0.0
SRR2034335.672393-2/2	0.0	0.0
SRR2034335.673048-1/2	0.0	0.0
SRR2034335.673048-2/2	0.0	0.0
SRR2034335.677318-1/2	1.0	0.0
SRR2034335.677318-2/2	1.0	0.0
SRR2034335.677800-1/2	2.0	0.0
SRR2034335.677800-2/2	1.0	0.0
SRR2034335.680332-1/2	0.0	0.0
SRR2034335.680332-2/2	1.0	0.0
SRR2034335.685276-1/2	1.0	0.0
SRR2034335.685276-2/2	0.0	0.0
SRR2034335.689009-1/2	1.0	0.0
SRR2034335.689009-2/2	0.0	0.0
SRR2034335.690014-1/2	0.0	0.0
SRR2034335.690014-2/2	1.0	0.0
SRR2034335.69052-1/2	1.0	0.0
SRR2034335.69052-2/2	1.0	0.0
SRR2034335.695558-1/2	1.0	0.0
SRR2034335.695558-2/2	1.0	0.0
SRR2034335.700708-1/2	0.0	0.0
SRR2034335.700708-2/2	0.0	0.0
SRR2034335.701431-1/2	1.0	0.0
SRR2034335.701431-2/2	1.0	0.0
SRR2034335.702389-1/2	0.0	0.0
SRR2034335.702389-2/2	0.0	0.0
SRR2034335.705631-1/2	1.0	0.0
SRR2034335.705631-2/2	1.0	0.0
SRR2034335.706683-1/2	1.0	0.0
SRR2034335.706683-2/2	0.0	0.0
SRR2034335.711089-1/2	0.0	0.0
SRR2034335.711089-2/2	1.0	0.0
SRR2034335.712708-1/2	0.0	0.0
SRR2034335.712708-2/2	1.0	0.0
SRR2034335.718843-1/2	2.0	0.0
SRR2034335.718843-2/2	0.0	1.0
SRR2034335.720760-1/2	0.0	0.0
SRR2034335.720760-2/2	1.0	0.0
SRR2034335.723666-1/2	0.0	0.0
SRR2034335.723666-2/2	1.0	0.0
SRR2034335.727986-1/2	0.0	0.0
SRR2034335.727986-2/2	1.0	0.0
SRR2034335.729175-1/2	1.0	0.0
SRR2034335.729175-2/2	0.0	0.0
SRR2034335.735312-1/2	1.0	0.0
SRR2034335.735312-2/2	0.0	0.0
SRR2034335.73659-1/2	0.0	0.0
SRR2034335.73659-2/2	1.0	0.0
SRR2034335.74238-1/2	0.0	0.0
SRR2034335.74238-2/2	0.0	0.0
SRR2034335.743061-1/2	1.0	0.0
SRR2034335.743061-2/2	1.0	0.0
SRR2034335.751966-1/2	1.0	0.0
SRR2034335.751966-2/2	1.0	0.0
SRR2034335.753832-1/2	1.0	0.0
SRR2034335.753832-2/2	0.0	0.0
SRR2034335.756613-1/2	1.0	0.0
SRR2034335.756613-2/2	0.0	0.0
SRR2034335.762971-1/2	-1.0	0.0
SRR2034335.762971-2/2	-1.0	0.0
SRR2034335.763022-1/2	2.0	0.0
SRR2034335.763022-2/2	0.0	1.0
SRR2034335.763888-1/2	1.0	0.0
SRR2034335.763888-2/2	1.0	0.0
SRR2034335.767458-1/2	2.0	0.0
SRR2034335.767458-2/2	0.0	1.0
SRR2034335.768599-1/2	1.0	0.0
SRR2034335.768599-2/2	1.0	0.0
SRR2034335.771492-1/2	1.0	0.0
SRR2034335.771492-2/2	1.0	0.0
SRR2034335.77215-1/2	2.0	0.0
SRR2034335.77215-2/2	0.0	1.0
SRR2034335.772554-1/2	1.0	0.0
SRR2034335.772554-2/2	1.0	0.0
SRR2034335.773718-1/2	0.0	0.0
SRR2034335.773718-2/2	0.0	0.0
SRR2034335.775012-1/2	1.0	0.0
SRR2034335.775012-2/2	1.0	0.0
SRR2034335.775087-1/2	1.0	0.0
SRR2034335.775087-2/2	1.0	0.0
SRR2034335.776581-1/2	2.0	1.0
SRR2034335.776581-2/2	2.0	1.0
SRR2034335.777726-1/2	1.0	0.0
SRR2034335.777726-2/2	1.0	0.0
SRR2034335.779219-1/2	1.0	0.0
SRR2034335.779219-2/2	0.0	0.0
SRR2034335.784479-1/2	0.0	0.0
SRR2034335.784479-2/2	0.0	0.0
SRR2034335.78647-1/2	1.0	0.0
SRR2034335.78647-2/2	1.0	0.0
SRR2034335.789179-1/2	1.0	0.0
SRR2034335.789179-2/2	0.0	1.0
SRR2034335.79016-1/2	-1.0	0.0
SRR2034335.79016-2/2	-1.0	0.0
SRR2034335.7974-1/2	2.0	1.0
SRR2034335.7974-2/2	1.0	1.0
SRR2034335.803227-1/2	0.0	0.0
SRR2034335.803227-2/2	0.0	0.0
SRR2034335.804145-1/2	1.0	0.0
SRR2034335.804145-2/2	2.0	0.0
SRR2034335.808984-1/2	-1.0	0.0
SRR2034335.808984-2/2	-1.0	0.0
SRR2034335.809130-1/2	2.0	0.0
SRR2034335.809130-2/2	0.0	0.0
SRR2034335.810762-1/2	0.0	0.0
SRR2034335.810762-2/2	0.0	1.0
SRR2034335.812712-1/2	1.0	0.0
SRR2034335.812712-2/2	1.0	0.0
SRR2034335.819981-1/2	1.0	0.0
SRR2034335.819981-2/2	0.0	0.0
SRR2034335.8244-1/2	1.0	0.0
SRR2034335.8244-2/2	1.0	0.0
SRR2034335.824442-1/2	1.0	0.0
SRR2034335.824442-2/2	0.0	0.0
SRR2034335.825247-1/2	1.0	0.0
SRR2034335.825247-2/2	0.0	1.0
SRR2034335.835948-1/2	1.0	0.0
SRR2034335.835948-2/2	1.0	0.0
SRR2034335.836036-1/2	1.0	0.0
SRR2034335.836036-2/2	2.0	0.0
SRR2034335.838038-1/2	0.0	0.0
SRR2034335.838038-2/2	1.0	0.0
SRR2034335.843173-1/2	1.0	0.0
SRR2034335.843173-2/2	2.0	0.0
SRR2034335.845890-1/2	0.0	0.0
SRR2034335.845890-2/2	2.0	0.0
SRR2034335.846615-1/2	1.0	0.0
SRR2034335.846615-2/2	1.0	0.0
SRR2034335.847831-1/2	0.0	0.0
SRR2034335.847831-2/2	1.0	0.0
SRR2034335.848768-1/2	0.0	0.0
SRR2034335.848768-2/2	0.0	0.0
SRR2034335.851248-1/2	1.0	0.0
SRR2034335.851248-2/2	0.0	0.0
SRR2034335.857234-1/2	0.0	0.0
SRR2034335.857234-2/2	1.0	0.0
SRR2034335.85807-1/2	0.0	0.0
SRR2034335.85807-2/2	1.0	0.0
SRR2034335.860168-1/2	2.0	0.0
SRR2034335.860168-2/2	0.0	0.0
SRR2034335.861779-1/2	1.0	0.0
SRR2034335.861779-2/2	1.0	0.0
SRR2034335.862798-1/2	1.0	0.0
SRR2034335.862798-2/2	1.0	0.0
SRR2034335.863158-1/2	0.0	0.0
SRR2034335.863158-2/2	0.0	0.0
SRR2034335.867824-1/2	0.0	0.0
SRR2034335.867824-2/2	0.0	0.0
SRR2034335.871900-1/2	0.0	0.0
SRR2034335.871900-2/2	0.0	0.0
SRR2034335.87244-1/2	1.0	0.0
SRR2034335.87244-2/2	1.0	0.0
SRR2034335.873520-1/2	1.0	0.0
SRR2034335.873520-2/2	1.0	1.0
SRR2034335.874498-1/2	1.0	0.0
SRR2034335.874498-2/2	1.0	0.0
SRR2034335.879389-1/2	1.0	0.0
SRR2034335.879389-2/2	2.0	0.0
SRR2034335.882053-1/2	0.0	0.0
SRR2034335.882053-2/2	0.0	0.0
SRR2034335.891385-1/2	1.0	0.0
SRR2034335.891385-2/2	1.0	0.0
SRR2034335.891636-1/2	1.0	0.0
SRR2034335.891636-2/2	1.0	0.0
SRR2034335.90114-1/2	0.0	0.0
SRR2034335.90114-2/2	0.0	0.0
SRR2034335.9099-1/2	2.0	0.0
SRR2034335.9099-2/2	1.0	0.0
SRR2034335.91647-1/2	2.0	0.0
SRR2034335.91647-2/2	0.0	0.0
SRR2034335.92039-1/2	1.0	0.0
SRR2034335.92039-2/2	0.0	0.0
SRR2034335.99466-1/2	2.0	1.0
SRR2034335.99466-2/2	0.0	0.0
