	recG_15	recG_16
SRR2034335.822620-2/2	0.0	0.0
SRR2034335.823158-1/2	0.0	0.0
SRR2034335.823158-2/2	0.0	0.0
SRR2034335.823341-1/2	0.0	0.0
SRR2034335.823341-2/2	0.0	0.0
SRR2034335.824120-1/2	0.0	0.0
SRR2034335.824120-2/2	0.0	1.0
SRR2034335.826021-1/2	0.0	0.0
SRR2034335.826021-2/2	0.0	0.0
SRR2034335.827404-1/2	1.0	0.0
SRR2034335.827404-2/2	0.0	0.0
SRR2034335.829736-1/2	0.0	1.0
SRR2034335.829736-2/2	0.0	0.0
SRR2034335.83298-1/2	0.0	0.0
SRR2034335.83298-2/2	0.0	0.0
SRR2034335.833517-1/2	1.0	0.0
SRR2034335.833517-2/2	0.0	0.0
SRR2034335.841545-1/2	1.0	1.0
SRR2034335.841545-2/2	0.0	0.0
SRR2034335.84313-1/2	1.0	0.0
SRR2034335.84313-2/2	0.0	0.0
SRR2034335.843975-1/2	1.0	0.0
SRR2034335.843975-2/2	1.0	0.0
SRR2034335.849183-1/2	1.0	0.0
SRR2034335.849183-2/2	0.0	0.0
SRR2034335.856120-1/2	0.0	0.0
SRR2034335.856120-2/2	0.0	0.0
SRR2034335.856656-1/2	1.0	0.0
SRR2034335.856656-2/2	0.0	0.0
SRR2034335.856930-1/2	0.0	0.0
SRR2034335.856930-2/2	0.0	1.0
SRR2034335.859749-1/2	0.0	0.0
SRR2034335.859749-2/2	0.0	0.0
SRR2034335.863095-1/2	1.0	0.0
SRR2034335.863095-2/2	0.0	0.0
SRR2034335.865218-1/2	0.0	0.0
SRR2034335.865218-2/2	0.0	0.0
SRR2034335.869421-1/2	0.0	1.0
SRR2034335.869421-2/2	0.0	1.0
SRR2034335.872756-1/2	0.0	0.0
SRR2034335.872756-2/2	0.0	0.0
SRR2034335.873495-1/2	0.0	0.0
SRR2034335.873495-2/2	1.0	1.0
SRR2034335.87465-1/2	1.0	2.0
SRR2034335.87465-2/2	0.0	0.0
SRR2034335.875529-1/2	0.0	0.0
SRR2034335.875529-2/2	0.0	0.0
SRR2034335.876608-1/2	1.0	0.0
SRR2034335.876608-2/2	0.0	0.0
SRR2034335.877103-1/2	1.0	0.0
SRR2034335.877103-2/2	0.0	0.0
SRR2034335.878608-1/2	0.0	0.0
SRR2034335.878608-2/2	0.0	0.0
SRR2034335.879712-1/2	0.0	0.0
SRR2034335.879712-2/2	0.0	0.0
SRR2034335.881063-1/2	0.0	0.0
SRR2034335.881063-2/2	1.0	2.0
SRR2034335.881123-1/2	0.0	0.0
SRR2034335.881123-2/2	0.0	0.0
SRR2034335.881135-1/2	0.0	0.0
SRR2034335.881135-2/2	0.0	0.0
SRR2034335.881180-1/2	1.0	0.0
SRR2034335.881180-2/2	0.0	0.0
SRR2034335.881276-1/2	0.0	0.0
SRR2034335.881276-2/2	0.0	0.0
SRR2034335.882560-1/2	0.0	0.0
SRR2034335.882560-2/2	0.0	0.0
SRR2034335.886554-1/2	0.0	0.0
SRR2034335.886554-2/2	0.0	0.0
SRR2034335.93927-1/2	0.0	1.0
SRR2034335.93927-2/2	0.0	1.0
SRR2034335.94906-1/2	1.0	0.0
SRR2034335.94906-2/2	0.0	0.0
SRR2034335.96964-1/2	0.0	0.0
SRR2034335.96964-2/2	0.0	0.0
SRR2034335.97974-1/2	0.0	0.0
SRR2034335.97974-2/2	0.0	0.0
