	pyrG_168
SRR2034334.817991-2/2	0.0
SRR2034334.818458-1/2	0.0
SRR2034334.818458-2/2	0.0
SRR2034334.819228-1/2	0.0
SRR2034334.819228-2/2	0.0
SRR2034334.826929-1/2	0.0
SRR2034334.826929-2/2	0.0
SRR2034334.829382-1/2	0.0
SRR2034334.829382-2/2	0.0
SRR2034334.845675-1/2	0.0
SRR2034334.845675-2/2	0.0
SRR2034334.847512-1/2	0.0
SRR2034334.847512-2/2	0.0
SRR2034334.850532-1/2	0.0
SRR2034334.850532-2/2	0.0
SRR2034334.850826-1/2	0.0
SRR2034334.850826-2/2	0.0
SRR2034334.859503-1/2	0.0
SRR2034334.859503-2/2	0.0
SRR2034334.864043-1/2	0.0
SRR2034334.864043-2/2	0.0
SRR2034334.865372-1/2	0.0
SRR2034334.865372-2/2	0.0
SRR2034334.86832-1/2	0.0
SRR2034334.86832-2/2	0.0
SRR2034334.87229-1/2	0.0
SRR2034334.87229-2/2	0.0
SRR2034334.874984-1/2	0.0
SRR2034334.874984-2/2	0.0
SRR2034334.876473-1/2	0.0
SRR2034334.876473-2/2	0.0
SRR2034334.879578-1/2	0.0
SRR2034334.879578-2/2	0.0
SRR2034334.889461-1/2	0.0
SRR2034334.889461-2/2	0.0
SRR2034334.900940-1/2	0.0
SRR2034334.900940-2/2	0.0
SRR2034334.902954-1/2	0.0
SRR2034334.902954-2/2	0.0
SRR2034334.906840-1/2	0.0
SRR2034334.906840-2/2	0.0
SRR2034334.909368-1/2	0.0
SRR2034334.909368-2/2	0.0
SRR2034334.909899-1/2	0.0
SRR2034334.909899-2/2	0.0
SRR2034334.911403-1/2	0.0
SRR2034334.911403-2/2	0.0
SRR2034334.913222-1/2	0.0
SRR2034334.913222-2/2	0.0
SRR2034334.917399-1/2	0.0
SRR2034334.917399-2/2	0.0
SRR2034334.918419-1/2	0.0
SRR2034334.918419-2/2	0.0
SRR2034334.923950-1/2	0.0
SRR2034334.923950-2/2	0.0
SRR2034334.92667-1/2	0.0
SRR2034334.92667-2/2	0.0
SRR2034334.935963-1/2	0.0
SRR2034334.935963-2/2	0.0
