,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
137,138,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_130,New
138,139,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_33,New
139,140,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_130,New
140,141,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_33,New
141,142,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_130,New
142,143,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_33,New
143,144,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_130,New
144,145,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_33,New
145,146,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_130,New
146,147,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
147,148,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
148,149,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
149,150,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
150,151,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
151,152,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,Existing
152,153,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_33,New
153,154,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_130,New
154,155,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_33,New
155,156,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_130,New
156,157,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_33,New
157,158,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_130,New
158,159,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_33,New
159,160,clpA_60,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_130,New
160,161,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
161,162,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
162,163,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_33,New
163,164,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_130,New
164,165,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_33,New
165,166,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_130,New
166,167,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_33,New
167,168,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_130,New
168,169,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_33,New
169,170,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_130,New
170,171,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_33,New
171,172,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_130,New
172,173,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_33,New
173,174,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_130,New
174,175,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_33,New
175,176,clpA_60,clpX_45,nifS_78,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_130,New
176,177,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_33,New
177,178,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_130,New
178,179,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
179,180,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
180,181,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
181,182,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
