,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
174,175,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_288,New
175,176,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_28,New
176,177,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_29,New
177,178,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_288,New
178,179,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_28,New
179,180,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_29,New
180,181,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_288,New
181,182,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_28,New
182,183,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_29,New
183,184,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_288,New
184,185,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_28,New
185,186,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_29,New
186,187,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_288,New
187,188,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_28,New
188,189,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_29,New
189,190,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_288,New
190,191,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_28,New
191,192,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_29,New
